ZOTU_ID	D00R01	D00R02	D00R03	D00R04	D00R05	D00R06	D03R01	D03R02	D03R03	D03R04	D03R05	D03R06	D06R01	D06R02	D06R03	D06R04	D06R05	D06R06	D09R01	D09R02	D09R03	D09R04	D09R05	D09R06	D12R01	D12R02	D12R03	D12R04	D12R05	D12R06	D24R01	D24R02	D24R03	D24R04	D24R05	D24R06	D48R01	D48R02	D48R03	D48R04	D48R05	D48R06	D96R01	D96R02	D96R03	D96R04	D96R05	D96R06
ZOTU_4057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	8	0
ZOTU_3	4	0	1	0	0	0	0	0	0	0	0	1	2	1	0	1	1	4	0	2	0	0	0	5	1	5	1	6	15	1	66	380	213	834	147	37	303	6499	1349	853	184	17277	2891	3668	311	212	111	8200
ZOTU_5	3740	5799	8980	9850	11236	7401	188	237	105	612	401	105	203	261	73	616	1490	23	316	2525	306	1725	2216	284	1589	3359	322	954	2881	147	2379	2147	358	1324	1613	274	4257	2061	745	1172	2425	150	5328	2271	84	608	1021	610
ZOTU_86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	1	0	1468	0	0	0
ZOTU_1	31	2	1	1	4	0	1	0	3	0	4	0	3	0	0	2	3	0	5	466	11	23	1005	2	135	2538	164	358	4926	14	5349	6650	4463	8035	11197	677	2265	4591	5424	5267	11550	601	919	1997	509	1532	3512	1425
ZOTU_13	1	2	4	0	0	0	1393	198	1907	516	449	1006	215	436	471	304	927	409	541	604	552	261	566	560	825	215	618	397	632	835	1075	54	1100	86	592	834	1486	21	1254	142	395	371	2380	30	239	124	217	802
ZOTU_832	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	1	1	0	1	12	1	1	1	1	2	11	4	1	3	3	16	9	4	4	5	4	55	25	5	11	21	33
ZOTU_2	5	0	3	1	1	0	39	22	2	35	62	11	13794	2073	19739	1901	1772	245	12945	1012	18887	2245	1085	246	10355	284	16661	1118	1097	119	7119	258	9569	101	338	113	3052	79	4622	119	251	42	2647	52	2037	70	100	62
ZOTU_387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	1	13	1	3	0	0	7	0	5	3	3	2
ZOTU_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	28	32	174	10	25	846	2675	3944	341	83
ZOTU_7	25	3	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	1	0	344	1	174	20	573	0	10785	10	563	17	41	1	5816	4	1227
ZOTU_10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	17	37	60	4	6	893	35	93	131	11	105	696	38	80	156	47	615	2559	50	160	614	125	1750	3544	380	2086	13269	3267
ZOTU_238	59	24	324	314	133	82	0	0	0	4	1	0	0	0	0	1	5	0	1	15	1	19	17	0	18	39	5	7	30	1	11	48	1	20	36	2	154	55	12	19	45	2	150	41	0	8	12	3
ZOTU_17	8	13	11	2	22	16	0	559	549	2379	1938	1098	3	127	73	295	420	36	4	576	122	296	498	133	3	374	128	422	585	160	3	260	180	275	434	216	1	161	183	265	462	111	3	167	23	288	327	411
ZOTU_25	0	0	1	0	0	1	0	0	0	0	0	0	2	28	9	26	7	10	5	33	40	23	24	12	3	23	38	14	14	7	132	18	106	13	35	24	153	200	142	38	78	49	188	266	288	65	2780	240
ZOTU_12	33	1	4	14	0	0	0	0	0	1	0	0	1505	4	4	1	0	0	2618	1158	554	1081	1134	805	1419	1199	310	1045	1467	1009	1982	948	609	1545	900	1370	498	347	508	432	530	990	385	137	112	59	161	428
ZOTU_8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	21	746	372	3126	1673	0	188	1376	654	1061	290	0	6092	14285	7703	3	208
ZOTU_6666	0	0	0	0	0	0	3	12	0	13	15	0	0	0	0	2	0	0	1	0	0	1	0	0	2	1	0	0	0	0	1	2	0	0	0	0	12	0	0	0	0	0	18	0	0	0	0	0
ZOTU_1870	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	8	1	2	27	0	6	23	12	35	32	1	8	7	9	6	16	2	2	1	0	0	5	5
ZOTU_24	4	7	9	2	14	2	0	134	281	422	485	300	0	95	62	179	278	43	0	491	96	129	229	66	1	318	69	257	250	98	0	200	168	135	263	140	0	169	195	291	237	79	1	186	42	383	161	234
ZOTU_140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	0	709	0	0	0
ZOTU_11	2583	3792	2425	4522	4805	3053	78	45	42	151	114	50	82	60	26	99	211	15	119	503	91	280	448	124	443	806	136	186	609	89	870	576	155	309	372	177	1942	639	456	357	739	148	2021	911	73	254	399	598
ZOTU_18	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	99	0	2	10	2	0	102	75	28	172	120	88	3463	218	13	522	370	449	222	177	71	89	69	439
ZOTU_40	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	5	124	168	236	31	339	274	307	335	221	207
ZOTU_300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	5	81	0	0	0	0	2	13	2
ZOTU_6	30	3	32	45	0	1	0	1	0	0	0	1	5753	51	52	1	1	0	6517	9503	3562	1664	404	3968	4659	9531	3063	2978	591	2909	4666	4202	3373	849	248	2921	136	1908	2304	536	130	972	49	399	488	252	16	709
ZOTU_4	5	1	3	0	0	2	0	191	0	94	949	336	0	4614	107	7131	10493	17225	28	1780	90	2580	5918	11771	34	419	94	1623	5384	6603	4	459	62	113	2019	4687	1	169	77	164	1770	1948	16	75	18	95	664	2627
ZOTU_486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	6	0	2	2	0	4	12	0	6	44	5	38	47	5	56	62	48	46	35	25	9	39	1	0	5	15
ZOTU_9	1	0	0	0	0	0	5830	1636	13192	1161	766	23559	350	192	1464	197	280	4097	657	686	1503	112	176	2063	645	413	1392	174	193	1583	400	115	2200	34	133	793	249	46	1103	15	99	218	267	34	157	9	52	382
ZOTU_23	1	2	2	0	0	2	33	76	869	258	1	474	1	94	143	115	2	62	6	455	189	103	0	92	3	282	165	197	4	153	6	120	393	81	1	308	1	75	400	157	1	188	1	75	83	179	0	506
ZOTU_2646	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	3	0	3	1	0	8	0	0	3	0	20	22	2	3	4	1	31	35	2	6	35	6
ZOTU_15	1	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1288	0	2	5077	0	3082	47	140	306	97	10	117	108	522	1148	266	13	105
ZOTU_1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	10	1	4	0	0	1	12	4	6	1	2	0	5
ZOTU_4534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ZOTU_358	0	0	0	0	0	0	49	19	46	15	4	10	5	3	20	2	4	81	16	28	50	5	5	42	21	3	52	2	6	42	1	3	29	1	2	9	4	3	20	0	3	6	3	7	2	1	2	14
