Formula	Mass	Element	Classification	D00R01	D00R02	D00R03	D00R04	D00R05	D00R06	D03R01	D03R02	D03R03	D03R04	D03R05	D03R06	D06R01	D06R02	D06R03	D06R04	D06R05	D06R06	D09R01	D09R02	D09R03	D09R04	D09R05	D09R06	D12R01	D12R02	D12R03	D12R04	D12R05	D12R06	D24R01	D24R02	D24R03	D24R04	D24R05	D24R06	D48R01	D48R02	D48R03	D48R04	D48R05	D48R06	D96R01	D96R02	D96R03	D96R04	D96R05	D96R06
C10H10O11N2	334.028463	CH(O)N	tannins	0	0	0	0	0	0	0	0	0	0	0	5.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H10O4	194.05791	CH(O)	lignin	0.000374426	0.000207289	0	0.000169298	0.000152501	0.000153469	9.68E-05	9.97E-05	0.000188769	0.000159463	0.000122296	0.000114651	0	0.000104868	0	9.54E-05	8.43E-05	4.50E-05	9.09E-05	8.64E-05	9.21E-05	0.000178807	0.000122278	6.74E-05	3.97E-05	8.15E-05	7.77E-05	0.000167227	0.000107629	3.86E-05	4.87E-05	0.000203866	0.000174459	0.000274448	0.000144094	7.80E-05	0.000157861	0.000470083	0.000514694	0	0.000553861	0.000268861	0.000309194	0.001035774	0	0.000652964	0.000723972	0.000194926
C10H10O4S	226.029981	CH(O)S	lignin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.74E-05	0	3.60E-05	3.52E-05	3.99E-05	0	3.37E-05	5.75E-05	5.46E-05	0	0	0	5.28E-05	0	0	0	4.09E-05	0	5.15E-05	0	0	0	0	0	0	0	0	0	0	0	0.000141164	0.000221848	0	0
C10H10O5	210.052825	CH(O)	lignin	0	0	0	9.93E-05	0	0.000104235	8.51E-05	8.25E-05	9.36E-05	8.91E-05	7.18E-05	9.93E-05	0.000232307	0.000170505	0.00041089	0.000199421	0.000251607	0.000412913	0.000242597	9.48E-05	0.000254408	0.000318225	0.000280323	0.000190812	0.000134743	7.13E-05	0.000188204	8.86E-05	9.78E-05	0.000136355	0.000145069	0.000179269	0.000400299	0.000161789	0.000175238	0.000151134	0.000233886	0.000360507	0.000621913	0.000362667	0.000476372	0	0.000344862	0.000307487	0.00095813	0.000423206	0.00039912	0.000229104
C10H10O5S	242.024896	CH(O)S	lignin	0	0	0	0	0	0	0	0	0	0	0	0	0	4.28E-05	5.07E-05	4.81E-05	5.42E-05	5.56E-05	4.51E-05	0	4.32E-05	0.000113929	0.000100328	0	0	0	0	0	0	0	2.86E-05	2.56E-05	3.97E-05	0	3.21E-05	3.79E-05	0	0	0	0	0	0	0	0	0.000194237	0	0	0
C10H10O5S2	273.996967	CH(O)S	lignin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.48E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H10O6	226.04774	CH(O)	lignin	0.00010417	0	0	0.000117393	0	0	0.000200744	0.000264808	0.000140372	0.000249368	0.000162787	0.000129033	4.94E-05	4.64E-05	5.29E-05	7.41E-05	0	3.73E-05	5.84E-05	5.92E-05	6.76E-05	0.0001282	6.54E-05	8.66E-05	7.37E-05	8.15E-05	6.38E-05	0.000205073	7.41E-05	7.29E-05	9.52E-05	0.000241614	0.00010633	0.000379974	0.00013581	0.000127591	0.000112855	0.000633197	0.000365573	0.000567336	0.000491413	0.000390327	0.00027908	0.000559546	0.000546715	0.000510064	0.000484941	0.000418411
C10H10O6N2S	286.025959	CH(O)NS	lignin	0	0	0	0	0	0	0	3.18E-05	0	0	3.66E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H10O6S	258.019811	CH(O)S	lignin	0	0	0	0	0	0	0	3.87E-05	0	3.52E-05	3.56E-05	4.41E-05	0	0	0	0	0	0	0	0	3.65E-05	0	4.91E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000216398	0	0	0
C10H10O7	242.042655	CH(O)	tannins	0	0	0	0	0	0	5.64E-05	5.53E-05	4.86E-05	4.39E-05	3.77E-05	6.70E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.75E-05	0	5.34E-05	2.94E-05	8.21E-05	0	0.00012084	0	0	0	0	0	0.000128834	0	0	0	0.000215015
