,sample,C,H,N,O,S,ms_real,Gibbs,NOSC,CAImod,CAI,DBEO.C,DBEAImod,DBEAI,DBE,S.C,N.C,O.C,H.C,Y_met
WZ0616E,WZ0616E,17.81265525,23.14267482,1.693948089,6.881266291,0.185555364,376.7939684,66.58344482,-0.220471748,12.49251865,9.051885508,0.06776225,2.768155289,-0.672477857,8.088291888,0.010417052,0.095098011,0.386313337,1.299226561,0.109638262
WZ0714I,WZ0714I,19.52630548,25.84677358,1.831745711,6.840566723,0.440672589,409.5182597,68.74953225,-0.296474816,13.83360382,10.41332046,0.085946869,2.826089883,-0.594193478,8.518791545,0.02256815,0.093809129,0.350325704,1.323689912,0.097056244
WZ0714E,WZ0714E,17.6565513,24.41959036,1.636068534,7.293071811,0.17494595,381.6447261,67.68521646,-0.259130402,12.19900091,8.552465007,-0.001601753,1.807239997,-1.839295909,7.264790386,0.009908274,0.092660707,0.413051886,1.383032844,0.110836837
WZ0728E,WZ0728E,17.54649088,24.3935314,1.653085754,7.17085629,0.245376511,380.8330155,67.77451693,-0.262263752,12.06260047,8.477172322,0.000308424,1.692377646,-1.893050499,7.176268055,0.013984364,0.094211758,0.408677515,1.390222784,0.110836837
WZ0811E,WZ0811E,17.97286433,24.80927998,1.645070858,7.275081057,0.173362052,385.6208804,68.19243502,-0.276927545,12.51689089,8.879350358,0.006436298,1.934786325,-1.702754204,7.390759764,0.009645766,0.091530812,0.404781393,1.380374298,0.110836837
WZ0825E,WZ0825E,18.01294108,25.03564988,1.644867928,7.332990749,0.177666027,387.3909686,68.33713158,-0.282004617,12.52391175,8.857416373,-0.000857198,1.828520771,-1.837974603,7.317550101,0.009863244,0.0913159,0.407095694,1.389870192,0.104020696
WZ0915E,WZ0915E,17.85261539,23.49579552,1.618507293,7.43948025,0.156419626,384.5700258,65.8051601,-0.193163512,12.35794834,8.638208219,0.026578236,2.41930423,-1.300435895,7.913971274,0.00876172,0.090659394,0.416716548,1.31609823,0.112061906
BJ0613E,BJ0613E,17.9587322,25.64393519,1.357049259,7.233556356,0.222995376,383.1819896,70.86873005,-0.370832633,12.76190938,9.145131205,-0.02329046,1.618466417,-1.998311761,6.81528923,0.0124171,0.07556487,0.402787696,1.427936834,0.109638262
QQ0615E,QQ0615E,17.94444435,25.9379292,1.52150665,7.185616185,0.217698954,384.6736024,70.7295902,-0.365950533,12.61243065,9.019622557,-0.025043022,1.404219373,-2.18858872,6.736233069,0.01213183,0.084789845,0.400436817,1.445457363,0.109638262
QH0615E,QH0615E,18.20154966,28.07122146,1.31551976,6.456530297,0.326443056,378.8395091,76.83284455,-0.580099809,13.33132169,10.10305655,-0.034768001,0.953470845,-2.274794304,5.823698809,0.017934905,0.072275152,0.354724209,1.542243489,0.098944924
JZ0617E,JZ0617E,17.78791673,26.95075153,1.115697146,6.588141989,0.359103988,373.0979009,75.85613825,-0.545829412,13.0190446,9.724973608,-0.040350563,1.101517412,-2.192553582,5.87038954,0.020188086,0.062722193,0.370371758,1.515115678,0.106193186
CS0617E,CS0617E,17.75386779,26.46964138,1.119764856,6.778709244,0.309269487,373.7161941,74.64223231,-0.503236222,12.93547883,9.546124206,-0.03941562,1.260540568,-2.128814054,6.078929533,0.017419837,0.0630716,0.381815913,1.490922524,0.106193186
FS0617E,FS0617E,18.94850629,28.73090195,1.219156409,6.787948911,0.222338127,389.0910104,76.92434318,-0.583310287,14.1130373,10.71906284,-0.031417537,1.35716453,-2.036809925,6.192633521,0.011733808,0.064340502,0.358231346,1.5162621,0.098944924
QQ0627E,QQ0627E,17.79141161,25.36821112,1.337725402,6.946449716,0.199834208,375.2929107,71.61334127,-0.396959343,12.78062714,9.307402283,-0.009570964,1.765384285,-1.707840573,6.776168754,0.01123206,0.075189391,0.390438368,1.425868372,0.107317234
QH0629E,QH0629E,17.93368239,27.6383362,1.133652577,6.200404768,0.305064811,367.8619168,78.14092711,-0.625997442,13.39476262,10.29456024,-0.028943536,1.142420811,-1.957781573,5.681340583,0.017010718,0.063213597,0.345740748,1.541141166,0.105092441
JZ0701E,JZ0701E,18.25394747,28.52265241,0.9496329,5.852616443,0.446479317,368.9779626,80.71495534,-0.716314222,13.93152703,11.00521881,-0.021101119,1.14501728,-1.781290942,5.467437718,0.02445933,0.052023427,0.320621961,1.562547085,0.093970776
CS0701E,CS0701E,17.54588902,26.6935764,0.94725973,6.324159477,0.397364774,364.576638,77.20705658,-0.593230055,13.03918477,9.877105036,-0.037127147,1.166026437,-1.996053301,5.672730679,0.022647172,0.05398756,0.360435397,1.521357874,0.102516689
FS0702E,FS0702E,20.29048907,32.37293702,0.913907337,6.703392766,0.240191133,403.8092416,82.41407247,-0.775932367,15.78469422,12.43299783,-0.056303154,1.055179373,-2.29651701,5.560974225,0.011837622,0.045041168,0.330371178,1.595473471,0.084573698
BJ0704E,BJ0704E,18.24772894,26.90449822,1.32921577,6.591518503,0.260430857,378.458172,74.68914061,-0.504882127,13.36232306,10.06656381,-0.007202583,1.574681835,-1.721077416,6.460087714,0.01427196,0.072842806,0.361224047,1.474402558,0.100914607
QH0714E,QH0714E,18.30131003,28.85142557,1.064923408,6.191714461,0.313564131,372.6663508,79.99333326,-0.69099415,13.82696526,10.73110803,-0.04281964,0.933714181,-2.162143049,5.408058951,0.017133425,0.05818837,0.338320833,1.576467779,0.098944924
QH0714I,QH0714I,16.89171948,25.60926459,1.102762108,5.753561838,0.361390259,347.5344778,77.2920896,-0.59621367,12.55078619,9.674005275,-0.006813611,1.297534954,-1.579245965,5.63846824,0.021394522,0.065284183,0.340614337,1.516083938,0.110829553
JZ0715I,JZ0715I,19.87559588,27.57480997,1.669678813,6.86328101,0.506665701,415.6551175,71.52168032,-0.393743169,14.26761086,10.83597036,0.05331912,2.315045281,-1.116595224,7.9230303,0.02549185,0.084006478,0.345311962,1.387370227,0.095232939
JZ0715E,JZ0715E,19.44411026,31.2001544,0.704706329,6.447995,0.345364869,388.8188356,83.01795886,-0.797121363,15.17004156,11.94604406,-0.064369558,0.922317524,-2.301679976,5.196386221,0.017761927,0.036242663,0.331616871,1.604606947,0.089024945
CS0715I,CS0715I,16.59930945,24.0108465,1.204902047,6.381294808,0.446809412,356.6164676,71.87205125,-0.406036886,11.75695059,8.566303187,-0.011142487,1.353978363,-1.836669041,6.196337226,0.026917349,0.07258748,0.384431342,1.446496709,0.114587341
CS0715E,CS0715E,18.28895905,28.03731839,1.112660493,6.616992786,0.257748291,377.38387,77.36334734,-0.598713942,13.61005387,10.30155748,-0.043215291,1.147724918,-2.160771475,5.826630096,0.014093109,0.060837825,0.361802592,1.533018819,0.098944924
FS0716I,FS0716I,17.71143113,25.59652291,1.398473972,6.398309044,0.436344025,374.2081552,72.74146517,-0.436542637,12.67745861,9.47830409,0.012088104,1.578434142,-1.62072038,6.612406661,0.024636294,0.078958835,0.36125308,1.445197891,0.107317234
FS0716E,FS0716E,20.11638854,32.09866368,1.116471257,5.943966227,0.495120331,400.2837848,82.7854321,-0.78896253,15.53281384,12.56083073,-0.015841506,1.041717631,-1.930265482,5.625292332,0.024612784,0.055500581,0.295478794,1.59564743,0.085590335
