formula,C,H,N,O,S,molecular_weight,H.C,O.C,N.C,S.C,DBE,DBEO,DBEAI,DBEAImod,NOSC,Gibbs,AI,AImod,KDF_CH2,Y_met,classification,WZ0616E,WZ0714I,WZ0714E,WZ0728E,WZ0811E,WZ0825E,WZ0915E,BJ0613E,QQ0615E,QH0615E,JZ0617E,CS0617E,FS0617E,QQ0627E,QH0629E,JZ0701E,CS0701E,FS0702E,BJ0704E,QH0714E,QH0714I,JZ0715I,JZ0715E,CS0715I,CS0715E,FS0716I,FS0716E,QQ0718I,QQ0718E,BJ0718I,BJ0718E,QH0720E,JZ0729E,FS0729E,QQ0801E,BJ0801E,QH0803E,BJ0815E,QQ0815E,QH0817E,JZ0819E,FS0819E,CS0825E,CS0908E,QQ0913E,BJ0919E,CS0917E,JZ0916E,FS0916E
C10H10O2N2,10,10,2,2,0,190.074228,1,0.2,0.2,0,7,5,3,4,0,60.3,0.5,0.571428571,-0.138010581,0.210696882,lignin,0,0,0,0,0,0,0,3.00E-05,0,0,3.36E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18E-05,3.04E-05,2.48E-05,0
C10H10O3,10,10,0,3,0,178.062995,1,0.3,0,0,6,3,3,4.5,-0.4,71.7,0.428571429,0.529411765,-0.135831731,0.187962496,lignin,9.99E-05,0.000313984,6.33E-05,7.27E-05,0.00010643,8.60E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.29E-05,0,0,0,0,4.68E-05,3.73E-05,0,0,4.45E-05,0,5.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17E-05,0,0,0
C10H10O3N2,10,10,2,3,0,206.069143,1,0.3,0.2,0,7,4,2,3.5,0.2,54.6,0.4,0.538461538,-0.160955646,0.215294909,lignin,0.00018314,0,8.53E-05,7.46E-05,7.76E-05,8.13E-05,0.000119249,4.25E-05,3.95E-05,0,3.14E-05,0,0,5.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53E-05,3.46E-05,0,0,0,0,0,5.19E-05,3.59E-05,3.01E-05,2.74E-05,0
C10H10O3S,10,10,0,3,1,210.035066,1,0.3,0,0.1,6,3,2,3.5,-0.2,66,0.333333333,0.466666667,-0.199461031,0.169577848,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H10O4,10,10,0,4,0,194.05791,1,0.4,0,0,6,2,2,4,-0.2,66,0.333333333,0.5,-0.158776796,0.195806785,lignin,0.000160294,0.000397756,0.000174845,0.000159821,0.000172174,0.000168203,0.000142954,0.000113897,0.000111372,0.000109937,9.82E-05,0.000122519,5.41E-05,0.000148143,8.43E-05,0.000111721,0.000158622,7.79E-05,0.000126033,8.05E-05,0.000197602,0.000162328,7.95E-05,0.000166392,0.000145019,0.000293419,3.97E-05,0.000243395,6.04E-05,0.000283225,6.69E-05,8.57E-05,0.000133182,0.000106347,0.000124532,0.00015467,0.000131464,0.000145068,0.000145256,0.000109015,9.13E-05,0.000106177,0.000126698,0.000150752,0.000131627,0.000194653,0.000122977,7.08E-05,0.00010301
C10H10O4N2,10,10,2,4,0,222.064058,1,0.4,0.2,0,7,3,1,3,0.4,48.9,0.25,0.5,-0.183900711,0.224844041,lignin,6.02E-05,4.20E-05,5.11E-05,5.02E-05,4.49E-05,3.42E-05,4.03E-05,5.11E-05,4.23E-05,2.94E-05,3.84E-05,0,0,5.36E-05,3.09E-05,0,0,0,5.01E-05,0,0,0,3.46E-05,0,0,0,0,4.35E-05,4.62E-05,4.54E-05,4.42E-05,0,2.91E-05,0,5.75E-05,4.75E-05,0,3.35E-05,4.13E-05,3.92E-05,0,0,0,4.11E-05,6.68E-05,0,4.48E-05,0,0
C10H10O4N2S,10,10,2,4,1,254.036129,1,0.4,0.2,0.1,7,3,0,2,0.6,43.2,0,0.4,-0.247530011,0.199032161,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31E-05,0,0,0,0,3.48E-05,0,0,0,0,0,0,0,0,0,0,0
C10H10O4N4,10,10,4,4,0,250.070206,1,0.4,0.4,0,8,4,0,2,1,31.8,0,0.5,-0.209024626,0.265103709,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83E-05
C10H10O4S,10,10,0,4,1,226.029981,1,0.4,0,0.1,6,2,1,3,0,60.3,0.2,0.428571429,-0.222406096,0.175446839,lignin,0,0,0,0,0,0,4.11E-05,3.25E-05,0,0,0,0,0,0,0,0,4.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53E-05,0,0,0
C10H10O5,10,10,0,5,0,210.052825,1,0.5,0,0,6,1,1,3.5,0,60.3,0.2,0.466666667,-0.181721861,0.203017596,lignin,0.000281532,0.000799856,0.000279855,0.000276853,0.000326413,0.00032507,0.000180035,0.000242857,0.000135303,0.000182987,0.000186149,0.00022159,0.000147992,0.000181818,0.000174247,0.000194831,0.000230814,0.00020332,0.000321808,0.000174595,0.000193989,0.000257618,0.000187474,0.000542715,0.000204372,0.000344003,0.000121439,0.000313146,9.76E-05,0.000385447,0.000196427,0.000174339,0.000161437,0.000220808,0.000183721,0.000381944,0.000239019,0.000366304,0.000187821,0.000194138,0.000135268,0.000223164,0.000142412,0.000230385,0.000163824,0.000352588,0.000204734,9.82E-05,0.000210595
C10H10O5N2,10,10,2,5,0,238.058973,1,0.5,0.2,0,7,2,0,2.5,0.6,43.2,0,0.454545455,-0.206845776,0.235279567,lignin,0.000268699,0,0.000160348,0.000153627,0.000190091,0.000132463,0.000271198,9.11E-05,6.45E-05,4.39E-05,5.66E-05,4.76E-05,2.95E-05,7.14E-05,0,4.37E-05,0,0,4.29E-05,0,0,0,3.42E-05,0,5.10E-05,0,3.80E-05,4.64E-05,0,0,5.95E-05,3.19E-05,4.16E-05,3.66E-05,6.47E-05,6.91E-05,0,6.15E-05,7.54E-05,4.47E-05,2.83E-05,0,3.28E-05,4.70E-05,9.71E-05,5.13E-05,0,4.23E-05,4.40E-05
C10H10O5N2S,10,10,2,5,1,270.031044,1,0.5,0.2,0.1,7,2,-1,1.5,0.8,37.5,-0.5,0.333333333,-0.270475076,0.207165901,lignin,0,0,0,0,0,0,0,0,0,0,3.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,4.07E-05,0,0,0,5.51E-05,0,4.74E-05,0,0,0,0,0,4.80E-05,0,0,0,0,0,3.03E-05,0,0,0,0,0,0,0
C10H10O5N4,10,10,4,5,0,266.065121,1,0.5,0.4,0,8,3,-1,1.5,1.2,26.1,-1,0.428571429,-0.231969691,0.279732466,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.12E-05,0,0,0,0,0,0,0,0,3.37E-05
