	FS0916E	CS0908E	QQ0718E	CS0617E	JZ0701E	FS0702E	QH0615E	BJ0815E	BJ0613E	FS0617E	FS0716E	WZ0728E	QH0720E	BJ0718E	QQ0627E	QH0714E	CS0715E	FS0729E	JZ0729E	CS0701E	WZ0811E	WZ0825E	FS0819E	QQ0801E	BJ0704E	WZ0616E	JZ0715E	JZ0916E	JZ0617E	QH0803E	CS0825E	QH0817E	QQ0615E	WZ0714E	QQ0913E	QQ0815E	BJ0919E	JZ0819E	BJ0801E	WZ0915E	QH0629E	CS0917E
OTU_30	3558	8	29	2	6	267	5	1	4	163	298	27	20	0	50	35	6	330	10	5	65	97	1482	50	2	0	10	2	4	8	1	2	39	29	178	95	1	1	7	26	48	13
OTU_38	0	354	23	2721	65	0	0	251	727	0	0	0	0	0	47	0	3022	0	0	1408	1	0	0	32	274	0	70	28	13	0	464	0	11	0	60	214	32	12	135	0	0	335
OTU_94	1	1	267	1	179	0	2	17	221	1	0	0	0	73	372	0	2	0	21	3	1	0	0	267	45	3	35	6	381	1	0	0	115	1	329	91	425	11	102	0	0	3
OTU_60	0	59	308	1294	0	0	0	1	30	1	2	0	0	14	241	0	493	2	3	892	0	0	1	820	4	1	2	10	0	0	100	0	239	0	483	231	39	2	27	0	0	200
OTU_28	1	0	0	0	3	20	0	0	0	3	0	88	0	0	0	0	0	0	2	0	5	231	0	1	12	869	1251	0	1967	0	0	0	0	1	0	0	41	2316	7	731	0	0
OTU_36	1	7	0	4	1963	1	2	71	50	0	0	0	0	136	0	0	3	1	1997	11	0	0	0	1	70	484	2412	7	709	0	10	0	0	1	0	1	42	132	202	0	0	17
OTU_67	1	1	0	0	0	0	0	0	0	0	0	1796	0	0	0	0	0	0	0	0	225	110	0	0	0	145	362	0	217	0	0	3	0	4	0	87	1	422	0	71	0	0
OTU_19	1605	14	29	22	21	443	2	5	14	407	275	484	12	13	99	8	13	410	13	7	686	1212	1069	47	6	65	18	12	0	2	4	0	95	583	125	120	15	3	19	161	14	15
OTU_27	3	2	5250	0	1	132	7950	4	0	420	0	0	777	0	0	0	0	19	1	0	0	0	3	0	35	1	0	1	1	1773	0	1164	1419	0	0	2100	6103	1	0	0	6538	0
OTU_15	919	294	832	1854	0	1154	0	1	0	848	1388	2	0	0	1427	0	1757	727	2	2052	0	0	605	740	0	0	0	3	0	3	503	0	986	0	779	517	0	0	0	1	0	1018
OTU_754	951	4	95	2	2	304	2711	0	0	143	912	0	1808	0	80	6624	5	1892	4	1	1	1	2207	165	0	1	8	36	0	744	2	1496	87	1	124	123	0	5	0	5	2512	6
OTU_202	2	22	0	2	0	0	0	10953	14	2	0	136	2	19	1	1	2	1	4	1	31	2	1	297	52	0	0	0	0	0	0	1	0	84	21	627	4	1	1	0	5	1
OTU_273	0	92	1	37	0	0	5	29	25	0	0	0	71	34	0	1	30	0	0	4	0	0	0	0	9	0	0	0	0	44	31	0	0	0	0	0	1	0	9	0	2	25
OTU_29	0	268	23	395	533	0	5	667	783	0	1	0	48	1003	85	17	308	1	322	320	0	0	1	46	679	1	243	71	176	8	226	5	19	0	75	156	797	98	833	0	8	379
OTU_46	2	69	0	1	5	0	0	2	0	1	0	41	0	0	0	0	0	0	2	0	60	1808	0	0	0	744	496	0	1131	0	0	0	2	1	0	115	2	1275	9	696	0	0
OTU_152	191	1	0	0	2	2076	6	0	0	2586	1305	0	7	0	0	2	0	358	11	0	0	0	299	2	0	0	5	21	0	1	0	0	0	0	0	0	4	10	0	0	13	0
OTU_105	1019	231	162	893	0	1126	0	0	0	888	1391	1	0	0	135	7	979	716	1	932	0	0	669	143	0	0	0	0	0	9	394	1	64	0	206	132	0	1	0	1	0	779
OTU_596	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU_69	0	0	0	0	181	0	0	0	0	0	0	5	0	0	0	0	0	0	65	0	2	0	0	0	0	184	54	3	135	0	0	0	0	6	0	0	0	2	0	161	0	0
OTU_21	19	170	0	479	0	143	1	1	0	28	70	992	0	0	0	0	1588	100	6	941	1446	228	83	1	0	34	1068	3910	0	0	391	0	0	1827	0	1	0	2652	0	48	0	501
OTU_100	0	144	54	298	10	5	11	0	24	3	2	0	22	2	66	26	438	2	69	356	0	0	2	71	1	0	69	255	1	79	276	13	55	0	68	32	0	268	0	1	14	490
OTU_164	0	0	51	0	0	10	78	0	0	12	0	0	42	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	1	56	0	0	426	0	0	33	0	6	0	0	245	2
OTU_315	159	0	7	0	0	10	0	0	1	4	27	0	0	6	7	0	0	21	0	0	0	2	45	5	2	0	0	0	0	0	0	0	2	0	3	1	3	0	6	2	0	2
OTU_3	0	0	16	0	1	0	0	4427	2698	0	0	0	2	9785	0	12	0	1	38	0	0	0	0	0	11132	0	0	0	0	0	0	0	0	0	0	4	1697	0	3448	0	0	0
OTU_84	0	41	1	92	112	0	0	101	608	0	0	0	0	277	0	2	84	0	159	151	0	0	0	1	73	1	267	156	107	0	9	0	0	0	0	0	783	217	668	0	0	147
OTU_348	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	11	1	0	0	0	41	0	0	0	0	0	0	0	10	0	0	0	0	0	79	0	0
OTU_11	5	33	940	141	1217	0	3	76	106	2	5	75	1	174	2145	2	96	1	533	192	276	106	3	2891	119	648	1692	305	659	2	46	0	2194	522	2108	1144	45	209	252	202	1	53
OTU_22	3	0	1	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	298	141	0	0	0	730	2	0	3	0	0	0	0	281	0	0	0	2	0	884	0	0
OTU_44	387	12	204	240	316	506	0	0	9	544	1001	0	0	0	297	0	84	302	345	79	0	0	375	86	0	0	219	580	52	0	6	0	10	0	170	87	0	251	0	4	0	29
OTU_559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_45	22	429	3661	0	1	5024	30	2	1	128	0	272	35	0	0	6	0	753	438	1	703	1561	93	4076	72	1433	1113	0	2523	536	0	14877	7467	69	0	595	1524	28	0	1227	569	1
OTU_324	2	0	0	2	557	0	3	1	0	0	0	9	0	1	0	0	5	0	491	8	3	4	0	0	9	109	216	27	587	0	0	0	0	4	0	0	0	66	1	60	0	0
OTU_338	4	1	0	13	23	11	86	1	3	1	2	3	35	3	3	85	5	3	3	0	13	5	4	5	0	104	5	7	3	16	2	4	0	17	32	21	2	5	1	17	62	9
OTU_4	12	10502	3	0	0	79	61	1	1	5428	0	1	1	0	0	1	0	2	4	0	4	1274	0	34	0	80	0	0	61	15	0	0	534	4	0	93	2	0	0	3290	445	24
OTU_18	0	0	0	0	56	0	0	0	0	0	0	11	0	0	0	0	0	0	33	0	58	28	0	0	0	150	24	3	55	0	0	0	0	57	2	0	0	2	0	11	0	0
OTU_520	0	2	32	0	0	0	1	1	0	2	0	0	0	0	38	2	4	0	1	0	0	0	0	31	8	0	1	0	0	1	2	0	3	0	24	0	0	0	0	0	0	0
OTU_411	0	2	0	0	0	0	72	0	0	0	0	0	2237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	64	0	0	0	0	0	0	0	0	116	0
OTU_1098	56	1	302	0	2	3223	150	36	0	3405	7573	2	6	0	0	17	0	9773	4	6	0	0	5756	667	3	0	0	1	0	9	0	11	184	0	4	734	102	2	126	3	654	0
OTU_2338	13	171	29	362	4917	0	124	276	95	0	0	257	135	418	67	65	304	0	3513	170	1266	187	0	35	456	3445	2342	698	3054	385	192	20	13	2059	90	79	123	981	212	130	270	199
OTU_127	373	1	0	0	0	91	1	0	0	132	244	0	45	0	0	11	0	115	0	0	1	0	233	0	0	0	0	13	0	48	0	2	0	0	0	0	0	3	0	1	16	0
OTU_216	0	0	0	0	0	0	155	0	0	0	0	0	342	0	0	49	0	0	0	0	0	0	0	0	0	0	0	1	0	42	0	27	0	0	0	0	0	0	0	0	84	0
OTU_90	1	0	1	89	0	7	0	352	122	6	1	6	5	54	0	0	34	2	55	51	2	4	2	0	16	88	110	0	10	3	0	0	0	58	0	3	149	1	807	14	0	2
