id,group,type
WZ0616E,WZ,Output
WZ0714I,WZ,Input
WZ0714E,WZ,Output
WZ0728E,WZ,Output
WZ0811E,WZ,Output
WZ0825E,WZ,Output
WZ0915E,WZ,Output
BJ0613E,BJ,Output
QQ0615E,QQ,Output
QH0615E,QH,Output
JZ0617E,JZ,Output
CS0617E,CS,Output
FS0617E,FS,Output
QQ0627E,QQ,Output
QH0629E,QH,Output
JZ0701E,JZ,Output
CS0701E,CS,Output
FS0702E,FS,Output
BJ0704E,BJ,Output
QH0714E,QH,Output
QH0714I,QH,Input
JZ0715I,JZ,Input
JZ0715E,JZ,Output
CS0715I,CS,Input
CS0715E,CS,Output
FS0716I,FS,Input
FS0716E,FS,Output
QQ0718I,QQ,Input
QQ0718E,QQ,Output
BJ0718I,BJ,Input
BJ0718E,BJ,Output
QH0720E,QH,Output
JZ0729E,JZ,Output
FS0729E,FS,Output
QQ0801E,QQ,Output
BJ0801E,BJ,Output
QH0803E,QH,Output
BJ0815E,BJ,Output
QQ0815E,QQ,Output
QH0817E,QH,Output
JZ0819E,JZ,Output
FS0819E,FS,Output
CS0825E,CS,Output
CS0908E,CS,Output
QQ0913E,QQ,Output
BJ0919E,BJ,Output
CS0917E,CS,Output
JZ0916E,JZ,Output
FS0916E,FS,Output
