Small_molecule	Large_molecule	Molecular_transformation	Correlation_index
C9H9O2N	C8H8O4	C-1H-1O2N-1	1
C9H9O2N	C7H7O4N	C-2H-2O2	1
C9H11O2N	C8H14O4	C-1H3O2N-1	1
C9H10O3	C8H14O4	C-1H4O1	1
C9H16O3	C8H14O4	C-1H-2O1	1
C9H9O2N	C10H9O2N	C1	1
C8H8O4	C10H9O2N	C2H1O-2N1	1
C8H12O4	C7H12O5	C-1O1	1
C8H14O4	C7H12O5	C-1H-2O1	1
C9H10O3	C9H8O4	H-2O1	1
C8H8O4	C9H8O4	C1	1
C10H9O2N	C9H8O4	C-1H-1O2N-1	1
C8H12O4	C10H12O3	C2O-1	1
C10H9O2N	C10H12O3	H3O1N-1	1
C7H7O4N	C8H7O4N	C1	1
C8H6O4	C8H6O5	O1	1
C7H7O4N	C8H6O5	C1H-1O1N-1	1
C9H10O3	C9H10O4	O1	1
C8H8O4	C9H10O4	C1H2	1
C7H7O4N	C9H10O4	C2H3N-1	1
C10H9O2N	C9H10O4	C-1H1O2N-1	1
C9H8O4	C9H10O4	H2	1
C8H7O4N	C8H9O4N	H2	1
C9H8O4	C8H8O5	C-1O1	1
C9H10O4	C8H8O5	C-1H-2O1	1
C9H11O2N	C9H12O4	H1O2N-1	1
C9H10O3	C9H12O4	H2O1	1
C8H14O4	C9H12O4	C1H-2	1
C7H12O5	C9H12O4	C2O-1	1
C9H10O4	C9H12O4	H2	1
C9H16O3	C10H16O3	C1	1
C8H14O4	C10H16O3	C2H2O-1	1
C7H7O4N	C8H11O4N	C1H4	1
C8H9O4N	C8H11O4N	H2	1
C8H6O4	C8H10O5	H4O1	1
C7H7O4N	C8H10O5	C1H3O1N-1	1
C8H12O4	C8H10O5	H-2O1	1
C9H11O2N	C9H14O4	H3O2N-1	1
C9H10O3	C9H14O4	H4O1	1
C9H16O3	C9H14O4	H-2O1	1
C8H15O3N	C9H14O4	C1H-1O1N-1	1
C10H12O3	C9H14O4	C-1H2O1	1
C9H16O3	C10H18O3	C1H2	1
C8H15O3N	C10H18O3	C2H3N-1	1
C9H11O2N	C8H13O4N	C-1H2O2	1
C8H12O4	C8H13O4N	H1N1	1
C8H12O4	C8H12O5	O1	1
C8H10O5	C8H12O5	H2	1
C9H14O4	C8H12O5	C-1H-2O1	1
C10H18O3	C9H16O4	C-1H-2O1	1
C7H7O4N	C10H20O3	C3H13O-1N-1	1
C10H18O3	C10H20O3	H2	1
C9H8O4	C10H7O3N	C1H-1O-1N1	1
C8H8O5	C10H7O3N	C2H-1O-2N1	1
C9H10O3	C11H11O2N	C2H1O-1N1	1
C8H14O4	C11H11O2N	C3H-3O-2N1	1
C10H9O2N	C11H11O2N	C1H2	1
C9H10O4	C11H11O2N	C2H1O-2N1	1
C9H12O4	C11H11O2N	C2H-1O-2N1	1
C8H16O3N2	C8H15O4N	H-1O1N-1	1
C9H11O2N	C8H14O5	C-1H3O3N-1	1
C8H12O4	C8H14O5	H2O1	1
C9H10O4	C8H14O5	C-1H4O1	1
C8H11O4N	C8H14O5	H3O1N-1	1
C9H14O4	C8H14O5	C-1O1	1
C9H16O4	C8H14O5	C-1H-2O1	1
C8H15O4N	C8H14O5	H-1O1N-1	1
C9H9O2N	C10H9O3N	C1O1	1
C7H8O3S	C7H12O4S	H4O1	1
C7H13O3NS	C7H12O4S	H-1O1N-1	1
C9H11O2N	C10H11O3N	C1O1	1
C9H10O3	C10H11O3N	C1H1N1	1
C7H8O3S	C10H11O3N	C3H3N1S-1	1
C8H9O4N	C10H11O3N	C2H2O-1	1
C9H12O4	C10H11O3N	C1H-1O-1N1	1
C8H11O4N	C10H11O3N	C2O-1	1
C11H11O2N	C10H11O3N	C-1O1	1
C7H12O4S	C10H11O3N	C3H-1O-1N1S-1	1
C8H6O4	C10H10O4	C2H4	1
C8H10O5	C10H10O4	C2O-1	1
C10H11O3N	C10H10O4	H-1O1N-1	1
C9H9O2N	C11H14O3	C2H5O1N-1	1
C9H14O4	C11H14O3	C2O-1	1
C8H6O4	C13H22O	C5H16O-3	1
C7H7O4N	C13H22O	C6H15O-3N-1	1
C9H8O4	C13H22O	C4H14O-3	1
C9H10O4	C13H22O	C4H12O-3	1
C10H7O3N	C13H22O	C3H15O-2N-1	1
